,mean__chm,max__chm,mean__veg_height_q30,mean__canopy_cover_gt1m,mean__fhd,mean__veg_height_cv,mean__vci,mean__crr,mean__veg_height_kurt,sd__chm,cv__chm,sd__canopy_cover_gt1m,sd__vci,sd__fhd,sd__crr,sd__veg_height_skew
mean__chm,1.0,0.8872537384361604,0.8680151848114145,0.6070442047657275,0.7412805139498765,0.07383916673283163,0.07608193808086815,0.2540420642231091,0.24130436337206723,0.737039768254028,-0.24347958805728825,-0.5314975585679078,-0.4857572260314654,0.17584917498492728,0.2576718041452047,0.5437677781662538
max__chm,0.8872537384361604,1.0,0.7115092542260772,0.4940404208947584,0.5923318018681127,0.19032535435271142,-0.1891713109705367,0.06611135763284176,0.20465828951905346,0.9170733925119575,0.13247935990642234,-0.3881330330376667,-0.40411520463972955,0.31005466209094046,0.37901924940700604,0.6098896634511661
mean__veg_height_q30,0.8680151848114145,0.7115092542260772,1.0,0.6399969351211101,0.7453231568056878,-0.3384388524455574,0.23467811064610053,0.6423790514866111,0.5088877023902847,0.48492433967223225,-0.4177435593532309,-0.5452605209274148,-0.4628461795699042,0.08692961049282913,0.002046910515173598,0.3972158763931291
mean__canopy_cover_gt1m,0.6070442047657275,0.4940404208947584,0.6399969351211101,1.0,0.8469058019548198,-0.4768693711175993,0.5960917952988667,0.5482462602580757,0.09450567274368489,0.2609520816547326,-0.6139365879951587,-0.841289207149666,-0.8167377494477936,-0.4161096828145864,-0.41685806394029334,-0.012579322699062102
mean__fhd,0.7412805139498765,0.5923318018681127,0.7453231568056878,0.8469058019548198,1.0,-0.2742481794214548,0.6498080214067531,0.43920450560176494,0.0756460831684072,0.3305957847663446,-0.5845687837175397,-0.7776921519184987,-0.7226858433085593,-0.19343487216663957,-0.28891620897540016,0.019807043385587947
mean__veg_height_cv,0.07383916673283163,0.19032535435271142,-0.3384388524455574,-0.4768693711175993,-0.2742481794214548,1.0,-0.5436064359869024,-0.8688884580152145,-0.3372760739148002,0.36811433895966233,0.5400667893189274,0.4061260446008215,0.277299853801725,0.4408813880122707,0.6593027065442092,0.38572637975437646
mean__vci,0.07608193808086815,-0.1891713109705367,0.23467811064610053,0.5960917952988667,0.6498080214067531,-0.5436064359869024,1.0,0.4485495867954972,-0.10273351166849848,-0.3909487090064382,-0.8183533399412106,-0.6110870594001032,-0.5010352768531292,-0.5609861346807333,-0.7260123156419731,-0.5737744186440092
mean__crr,0.2540420642231091,0.06611135763284176,0.6423790514866111,0.5482462602580757,0.43920450560176494,-0.8688884580152145,0.4485495867954972,1.0,0.5333037277336183,-0.16029228899929013,-0.6303576680033935,-0.4346396799388273,-0.33625830788472466,-0.25344105662588495,-0.4235566137588316,-0.04453551538685711
mean__veg_height_kurt,0.24130436337206723,0.20465828951905346,0.5088877023902847,0.09450567274368489,0.0756460831684072,-0.3372760739148002,-0.10273351166849848,0.5333037277336183,1.0,0.19303793888943832,-0.051049709485470066,0.043504211335287354,0.01951926407143337,0.2461756379579374,0.053036622225866914,0.5347600096276682
sd__chm,0.737039768254028,0.9170733925119575,0.48492433967223225,0.2609520816547326,0.3305957847663446,0.36811433895966233,-0.3909487090064382,-0.16029228899929013,0.19303793888943832,1.0,0.3917019723954611,-0.11515277525132114,-0.14401192548952807,0.4917371234561026,0.5800643654262528,0.7120841357725616
cv__chm,-0.24347958805728825,0.13247935990642234,-0.4177435593532309,-0.6139365879951587,-0.5845687837175397,0.5400667893189274,-0.8183533399412106,-0.6303576680033935,-0.051049709485470066,0.3917019723954611,1.0,0.6251884723589254,0.5404024102837712,0.5795140522110179,0.5671942056059164,0.3128309644565846
sd__canopy_cover_gt1m,-0.5314975585679078,-0.3881330330376667,-0.5452605209274148,-0.841289207149666,-0.7776921519184987,0.4061260446008215,-0.6110870594001032,-0.4346396799388273,0.043504211335287354,-0.11515277525132114,0.6251884723589254,1.0,0.8976181201392959,0.6516386787670764,0.519508578620663,0.17902658844296795
sd__vci,-0.4857572260314654,-0.40411520463972955,-0.4628461795699042,-0.8167377494477936,-0.7226858433085593,0.277299853801725,-0.5010352768531292,-0.33625830788472466,0.01951926407143337,-0.14401192548952807,0.5404024102837712,0.8976181201392959,1.0,0.6767226885002527,0.4619821714523632,0.06806407851456396
sd__fhd,0.17584917498492728,0.31005466209094046,0.08692961049282913,-0.4161096828145864,-0.19343487216663957,0.4408813880122707,-0.5609861346807333,-0.25344105662588495,0.2461756379579374,0.4917371234561026,0.5795140522110179,0.6516386787670764,0.6767226885002527,1.0,0.6977578636215479,0.5644483372103456
sd__crr,0.2576718041452047,0.37901924940700604,0.002046910515173598,-0.41685806394029334,-0.28891620897540016,0.6593027065442092,-0.7260123156419731,-0.4235566137588316,0.053036622225866914,0.5800643654262528,0.5671942056059164,0.519508578620663,0.4619821714523632,0.6977578636215479,1.0,0.7372777620887904
sd__veg_height_skew,0.5437677781662538,0.6098896634511661,0.3972158763931291,-0.012579322699062102,0.019807043385587947,0.38572637975437646,-0.5737744186440092,-0.04453551538685711,0.5347600096276682,0.7120841357725616,0.3128309644565846,0.17902658844296795,0.06806407851456396,0.5644483372103456,0.7372777620887904,1.0
